label,text
Air pollution,"Health effects are concentrated among women, who are likely to be responsible for cooking, and young children. Gas stoves for cooking contribute to indoor air pollution by emitting NO2, benzene and carbon monoxide. Toasters can produce particulate pollution."
Inflation,"Those weighted average prices are combined to calculate the overall price. To better relate price changes over time, indexes typically choose a ""base year"" price and assign it a value of 100. Index prices in subsequent years are then expressed in relation to the base year price."
Inflation,"Overall inflation is measured as the price change of a large ""basket"" of representative goods and services. This is the purpose of a price index, which is the combined price of a ""basket"" of many goods and services. The combined price is the sum of the weighted prices of items in the ""basket""."
Inflation,"Moderate inflation affects economies in both positive and negative ways. The negative effects would include an increase in the opportunity cost of holding money; uncertainty over future inflation, which may discourage investment and savings; and, if inflation were rapid enough, shortages of goods as consumers begin hoarding out of concern that prices will increase in the future. Positive effects include reducing unemployment due to nominal wage rigidity, allowing the central bank greater freedom in carrying out monetary policy, encouraging loans and investment instead of money hoarding, and avoiding the inefficiencies associated with deflation."
Inflation,"(""incomes policies""). Temporary price controls may be used as a complement to other policies to fight inflation; price controls may make disinflation faster, while reducing the need for unemployment to reduce inflation. If price controls are used during a recession, the kinds of distortions that price controls cause may be lessened."
Air pollution,"HCl comes from coal combustion. H2SO4 forms from SO2, which comes from the burning of coal and oil and from some industrial processes like smelting. HNO3 forms from NO2, which is formed during high-temperature combustion."
Inflation,"An alternative theory, the real bills doctrine (RBD), originated in the 17th and 18th century, receiving its first authoritative exposition in Adam Smith's The Wealth of Nations. It asserts that banks should issue their money in exchange for short-term real bills of adequate value. As long as banks only issue a dollar in exchange for assets worth at least a dollar, the issuing bank's assets will naturally move in step with its issuance of money, and the money will hold its value."
Air pollution,"In South and East Asia, pregnant women are frequently exposed to indoor air pollution because of wood and other biomass fuels being used for cooking, which are responsible for more than 80% of regional pollution. In the Middle East, North Africa and West sub-Saharan Africa, fine PM comes from natural sources, such as dust storms. Including older children, polluted air resulted in the death of over 700,000 children in 2021 ."
Air pollution,Ground-level ozone is one example of a secondary pollutant. Some pollutants may be both primary and secondary: they are both emitted directly and formed from other primary pollutants.
Inflation,"Stabilization policy must therefore try to steer economic activity so that the actual unemployment rate converges towards that level. The trade-off between the unemployment rate and inflation implied by Phillips thus holds in the short term, but not in the long term. Also the oil crises of the 1970s causing at the same time rising unemployment and rising inflation (i.e."
Air pollution,"Some can cause cancer, such as butadiene and benzene, with benzene being released from cigarette smoking. Methane is a greenhouse gas and the second-largest driver of global warming. Other VOCs contribute to climate warming because they help form ground-level ozone, a greenhouse gas."
Inflation,"However, economists generally advise against the imposition of price controls. Wage and price controls, in combination with rationing, have been used successfully in wartime environments. However, their use in other contexts is far more mixed."
Inflation,"Today, most economists favour a low and steady rate of inflation. Low (as opposed to zero or negative) inflation reduces the probability of economic recessions by enabling the labor market to adjust more quickly in a downturn and reduces the risk that a liquidity trap prevents monetary policy from stabilizing the economy while avoiding the costs associated with high inflation. The task of keeping the rate of inflation low and stable is usually given to central banks that control monetary policy, normally through the setting of interest rates and by carrying out open market operations."
Inflation,"Critics argue that this will cause arbitrary fluctuations in the inflation rate, and that monetary policy would essentially be determined by an intersection of however much new gold was produced by mining and changing demand for gold for practical uses. The gold standard was historically found to make it more difficult to stabilize employment levels and avoid recessions and was eventually abandoned everywhere."
Air pollution,"(PM), also known as particle pollution, includes all airborne substances that are not gases. It is a mix of microscopic solid particles or droplets suspended in a gas. It consists of a large variety of materials and chemical compounds including toxic substances, and they vary strongly in size."
Air pollution,"These indexes can indicate when air quality is good, when it is dangerous for sensitive groups (e.g. children with asthma) and when it is a general hazard."
Air pollution,"Most particulate matter is formed in the atmosphere from precursor gases. For instance, sulfate comes from SO2, nitrate from NO2, and ammonium is formed from ammonia. Soot on the other hand is directly emitted from combustion, and consists of black carbon and organic compounds."
Inflation,"For example, inflation and in particular food inflation is considered one of the main reasons that caused the 2010–2011 Tunisian revolution and the 2011 Egyptian revolution, according to many observers including Robert Zoellick, president of the World Bank. Tunisian president Zine El Abidine Ben Ali was ousted, Egyptian President Hosni Mubarak was also ousted after only 18 days of demonstrations, and protests soon spread in many countries of North Africa and Middle East. Hyperinflation If inflation becomes too high, it can cause people to severely curtail their use of the currency, leading to an acceleration in the inflation rate."
Air pollution,"Coarse PM is 10 micrometer (μm) or smaller in diameter, fine PM is smaller than 2.5 μm, and ultrafine particles are 0.1 μm or smaller. Smaller particles pose more risk to health, as they can reach the bloodstream. A definitive link between fine particulate pollution and higher death rates in urban areas was established by the Harvard Six Cities study, published in 1993."
Inflation,"Annual escalation clauses in employment contracts can specify retroactive or future percentage increases in worker pay which are not tied to any index. These negotiated increases in pay are colloquially referred to as cost-of-living adjustments (""COLAs"") or cost-of-living increases because of their similarity to increases tied to externally determined indexes."
Inflation,"Sudden changes in consumer behavior can still introduce a weighting bias in inflation measurement. For example, during the COVID-19 pandemic it has been shown that the basket of goods and services was no longer representative of consumption during the crisis, as numerous goods and services could no longer be consumed due to government containment measures (""lock-downs""). Over time, adjustments are also made to the type of goods and services selected to reflect changes in the sorts of goods and services purchased by 'typical consumers'."
Inflation,"When looking at inflation, economic institutions may focus only on certain kinds of prices, or special indices, such as the core inflation index which is used by central banks to formulate monetary policy. Most inflation indices are calculated from weighted averages of selected price changes. This necessarily introduces distortion, and can lead to legitimate disputes about what the true inflation rate is."
Inflation,"This problem can be overcome by including all available price changes in the calculation, and then choosing the median value. In some other cases, governments may intentionally report false inflation rates; for instance, during the presidency of Cristina Kirchner the government of Argentina was criticised for manipulating economic data, such as inflation and GDP figures, for political gain and to reduce payments on its inflation-indexed debt."
Air pollution,"Air pollution is the presence of substances in the air that are harmful to humans, other living beings or the environment. Pollutants can be gases, like ozone or nitrogen oxides, or small particles like soot and dust. Both outdoor and indoor air can be polluted."
Inflation,"This theory begins with the equation of exchange: M V , where M is the nominal quantity of money; V is the velocity of money in final expenditures; P is the general price level; Q is an index of the real value of final expenditures. In this formula, the general price level is related to the level of real economic activity (Q), the quantity of money (M) and the velocity of money (V). The formula itself is simply an uncontroversial accounting identity because the velocity of money (V) is defined residually from the equation to be the ratio of final nominal expenditure ( P Q ) to the quantity of money (M)."
